DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,TIMESTAMP,PORT OF ORIGIN,PORT OF DESTINATION,VESSEL TYPE
2023-03-01 00:00:00,419000001,18.878464,76.443571,229,2023-03-01 00:00:00,Mumbai,Dubai,Cargo
2023-03-01 04:00:00,419000001,16.239786,74.397814,151,2023-03-01 04:00:00,Mumbai,Dubai,Cargo
2023-03-01 08:00:00,419000001,20.955925,77.091535,26,2023-03-01 08:00:00,Mumbai,Singapore,Cargo
2023-03-01 12:00:00,419000001,20.371268,73.41776,319,2023-03-01 12:00:00,Mumbai,Colombo,Cargo
2023-03-01 16:00:00,419000001,12.197793,73.866204,15,2023-03-01 16:00:00,Mumbai,Singapore,Cargo
2023-03-01 20:00:00,419000001,18.851981,75.412501,245,2023-03-01 20:00:00,Mumbai,Hong Kong,Cargo
2023-03-02 00:00:00,419000001,15.606025,71.401642,236,2023-03-02 00:00:00,Mumbai,Hong Kong,Cargo
2023-03-02 04:00:00,419000001,16.947189,79.212028,233,2023-03-02 04:00:00,Mumbai,Hong Kong,Cargo
2023-03-02 08:00:00,419000001,18.428166,78.104081,284,2023-03-02 08:00:00,Mumbai,Colombo,Cargo
2023-03-02 12:00:00,419000001,12.0351,71.139183,63,2023-03-02 12:00:00,Mumbai,Dubai,Cargo
2023-03-02 16:00:00,419000001,12.750024,78.307966,51,2023-03-02 16:00:00,Mumbai,Colombo,Cargo
2023-03-02 20:00:00,419000001,19.026203,76.691057,283,2023-03-02 20:00:00,Mumbai,Dubai,Cargo
2023-03-03 00:00:00,419000001,19.034627,71.018596,213,2023-03-03 00:00:00,Mumbai,Dubai,Cargo
2023-03-03 04:00:00,419000001,19.849486,70.218769,316,2023-03-03 04:00:00,Mumbai,Hong Kong,Cargo
2023-03-03 08:00:00,419000001,17.640006,72.309628,43,2023-03-03 08:00:00,Mumbai,Colombo,Cargo
2023-03-03 12:00:00,419000001,12.978012,74.640481,336,2023-03-03 12:00:00,Mumbai,Hong Kong,Cargo
2023-03-03 16:00:00,419000001,17.980281,71.417571,92,2023-03-03 16:00:00,Mumbai,Colombo,Cargo
2023-03-03 20:00:00,419000001,16.577817,78.673029,150,2023-03-03 20:00:00,Mumbai,Hong Kong,Cargo
2023-03-04 00:00:00,419000001,15.243289,70.927291,84,2023-03-04 00:00:00,Mumbai,Singapore,Cargo
2023-03-04 04:00:00,419000001,17.580396,72.097815,205,2023-03-04 04:00:00,Mumbai,Dubai,Cargo
2023-03-04 08:00:00,419000001,21.688971,79.55487,87,2023-03-04 08:00:00,Mumbai,Hong Kong,Cargo
2023-03-04 12:00:00,419000001,19.612194,76.821576,124,2023-03-04 12:00:00,Mumbai,Singapore,Cargo
2023-03-04 16:00:00,419000001,14.179764,76.677125,161,2023-03-04 16:00:00,Mumbai,Dubai,Cargo
2023-03-04 20:00:00,419000001,21.695908,78.931851,126,2023-03-04 20:00:00,Mumbai,Colombo,Cargo
2023-03-05 00:00:00,419000001,15.701476,77.598015,1,2023-03-05 00:00:00,Mumbai,Singapore,Cargo
2023-03-05 04:00:00,419000001,16.522835,70.858316,238,2023-03-05 04:00:00,Mumbai,Colombo,Cargo
2023-03-05 08:00:00,419000001,18.021468,71.810564,241,2023-03-05 08:00:00,Mumbai,Dubai,Cargo
2023-03-05 12:00:00,419000001,18.36161,75.408116,300,2023-03-05 12:00:00,Mumbai,Colombo,Cargo
2023-03-05 16:00:00,419000001,15.448702,71.54854,233,2023-03-05 16:00:00,Mumbai,Colombo,Cargo
2023-03-05 20:00:00,419000001,13.195508,79.815476,50,2023-03-05 20:00:00,Mumbai,Singapore,Cargo
2023-03-06 00:00:00,419000001,18.05875,71.011301,311,2023-03-06 00:00:00,Mumbai,Colombo,Cargo
2023-03-06 04:00:00,419000001,18.795351,74.221674,114,2023-03-06 04:00:00,Mumbai,Colombo,Cargo
